sector,publishedDate,sentiment
Basic Materials,01/02/2021,-0.251024783
Basic Materials,02/02/2021,-0.004544258
Basic Materials,03/02/2021,0.953121573
Basic Materials,05/02/2021,-0.083937317
Basic Materials,07/02/2021,0.927800864
Basic Materials,08/02/2021,0
Basic Materials,09/02/2021,0.25605209
Basic Materials,10/02/2021,0
Basic Materials,11/02/2021,-0.941704005
Basic Materials,12/02/2021,0.298123201
Basic Materials,14/02/2021,0.873832494
Basic Materials,16/02/2021,0.206346616
Basic Materials,17/02/2021,0
Basic Materials,18/02/2021,-0.515390873
Basic Materials,19/02/2021,0
Basic Materials,22/02/2021,0.350052282
Basic Materials,25/02/2021,-0.889568309
Basic Materials,01/03/2021,0.6757157
Basic Materials,02/03/2021,0.050833225
Basic Materials,03/03/2021,0.284189165
Basic Materials,04/03/2021,0
Basic Materials,05/03/2021,0.582782606
Basic Materials,08/03/2021,0.299443066
Basic Materials,09/03/2021,0.344542235
Basic Materials,12/03/2021,-0.259678344
Basic Materials,18/03/2021,0.172578116
Basic Materials,19/03/2021,-0.331985424
Basic Materials,22/03/2021,0
Basic Materials,23/03/2021,0.462518394
Basic Materials,24/03/2021,0.285043046
Basic Materials,25/03/2021,0.290102402
Basic Materials,26/03/2021,0.466795802
Basic Materials,27/03/2021,0.598106782
Basic Materials,30/03/2021,0.836593866
Basic Materials,31/03/2021,0.058257153
Basic Materials,01/04/2021,-0.19436583
Basic Materials,02/04/2021,0.782031119
Basic Materials,04/04/2021,0
Basic Materials,05/04/2021,-0.487048805
Basic Materials,08/04/2021,0.800485134
Basic Materials,10/04/2021,0
Basic Materials,13/04/2021,-0.123088293
Basic Materials,14/04/2021,-0.946558833
Basic Materials,15/04/2021,0.565478593
Basic Materials,16/04/2021,0.231544991
Basic Materials,18/04/2021,0.442481965
Basic Materials,19/04/2021,0
Basic Materials,20/04/2021,-0.883171916
Basic Materials,21/04/2021,0.28157723
Basic Materials,22/04/2021,-0.83741349
Basic Materials,23/04/2021,-0.167657018
Basic Materials,29/04/2021,-0.420380295
Basic Materials,30/04/2021,-0.112364441
Basic Materials,01/05/2021,0
Basic Materials,03/05/2021,-0.162114203
Basic Materials,04/05/2021,0
Basic Materials,05/05/2021,0.830795288
Basic Materials,06/05/2021,-0.04476896
Basic Materials,07/05/2021,0.917594135
Basic Materials,09/05/2021,-0.796625316
Basic Materials,10/05/2021,-0.48557517
Basic Materials,11/05/2021,0
Basic Materials,13/05/2021,-0.449769855
Basic Materials,17/05/2021,0.608174205
Basic Materials,20/05/2021,0.480459303
Basic Materials,22/05/2021,-0.790158808
Basic Materials,25/05/2021,0
Basic Materials,26/05/2021,0.409050256
Basic Materials,27/05/2021,0.078353373
Basic Materials,29/05/2021,0
Basic Materials,01/06/2021,0.458170653
Basic Materials,02/06/2021,0
Basic Materials,03/06/2021,0.947520435
Basic Materials,04/06/2021,-0.90856351
Basic Materials,05/06/2021,0.469658017
Basic Materials,07/06/2021,0.47061944
Basic Materials,08/06/2021,-0.796462983
Basic Materials,10/06/2021,0.918291748
Basic Materials,11/06/2021,-0.320917646
Basic Materials,12/06/2021,0.376733075
Basic Materials,14/06/2021,0.651371539
Basic Materials,15/06/2021,-0.18730491
Basic Materials,16/06/2021,0
Basic Materials,17/06/2021,-0.181799621
Basic Materials,18/06/2021,0
Basic Materials,21/06/2021,0.472753614
Basic Materials,23/06/2021,-0.335756769
Basic Materials,24/06/2021,0.477398984
Basic Materials,25/06/2021,-0.350354821
Basic Materials,29/06/2021,0.556571245
Basic Materials,30/06/2021,0
Basic Materials,05/07/2021,0.757841706
Basic Materials,06/07/2021,-0.137271646
Basic Materials,07/07/2021,-0.452247411
Basic Materials,08/07/2021,0.946562886
Basic Materials,10/07/2021,0.295450866
Basic Materials,12/07/2021,0
Basic Materials,14/07/2021,0.877488554
Basic Materials,15/07/2021,0.476458371
Basic Materials,18/07/2021,-0.867262185
Basic Materials,19/07/2021,-0.43607378
Basic Materials,20/07/2021,0.890909255
Basic Materials,21/07/2021,0
Basic Materials,22/07/2021,-0.200556129
Basic Materials,24/07/2021,-0.91874969
Basic Materials,25/07/2021,0
Basic Materials,26/07/2021,-0.61016041
Basic Materials,27/07/2021,-0.475533039
Basic Materials,28/07/2021,-0.082990945
Basic Materials,29/07/2021,0.183642864
Basic Materials,02/08/2021,-0.705883443
Basic Materials,05/08/2021,0.945953548
Basic Materials,09/08/2021,-0.027409464
Basic Materials,10/08/2021,-0.063707739
Basic Materials,11/08/2021,-0.319936077
Basic Materials,12/08/2021,0.623231828
Basic Materials,16/08/2021,0.609252274
Basic Materials,17/08/2021,0
Basic Materials,18/08/2021,-0.318752349
Basic Materials,20/08/2021,0.354990264
Basic Materials,21/08/2021,0.46775043
Basic Materials,22/08/2021,-0.16031608
Basic Materials,24/08/2021,0.92588675
Basic Materials,25/08/2021,0.90610522
Basic Materials,26/08/2021,0
Basic Materials,27/08/2021,-0.429925621
Basic Materials,02/09/2021,-0.308050215
Basic Materials,04/09/2021,0
Basic Materials,08/09/2021,-0.959555268
Basic Materials,13/09/2021,0.100336745
Basic Materials,14/09/2021,0
Basic Materials,15/09/2021,0
Basic Materials,16/09/2021,0.545770903
Basic Materials,17/09/2021,-0.27173388
Basic Materials,18/09/2021,-0.874687732
Basic Materials,20/09/2021,-0.225316338
Basic Materials,21/09/2021,-0.019661457
Basic Materials,22/09/2021,0.682497263
Basic Materials,23/09/2021,0.045562542
Basic Materials,24/09/2021,0.43584168
Basic Materials,27/09/2021,-0.255891363
Basic Materials,28/09/2021,-0.067921897
Basic Materials,29/09/2021,0.561061919
Basic Materials,30/09/2021,-0.960656345
Basic Materials,01/10/2021,-0.884930193
Basic Materials,02/10/2021,0
Basic Materials,04/10/2021,0.543356806
Basic Materials,05/10/2021,-0.921090275
Basic Materials,06/10/2021,0.712655127
Basic Materials,08/10/2021,-0.589254439
Basic Materials,09/10/2021,0
Basic Materials,11/10/2021,0.416766972
Basic Materials,12/10/2021,0.156137318
Basic Materials,13/10/2021,0
Basic Materials,14/10/2021,-0.105909685
Basic Materials,17/10/2021,-0.616757691
Basic Materials,18/10/2021,0.75381887
Basic Materials,19/10/2021,0
Basic Materials,20/10/2021,-0.966853797
Basic Materials,21/10/2021,-0.647189458
Basic Materials,22/10/2021,-0.609552403
Basic Materials,23/10/2021,0.940482378
Basic Materials,25/10/2021,0.44061929
Basic Materials,27/10/2021,0.869644105
Basic Materials,28/10/2021,-0.766952256
Basic Materials,30/10/2021,-0.892877832
Basic Materials,01/11/2021,-0.639662445
Basic Materials,02/11/2021,0.030059269
Basic Materials,03/11/2021,-0.931739986
Basic Materials,04/11/2021,0.045765728
Basic Materials,05/11/2021,0.811299741
Basic Materials,07/11/2021,-0.900610507
Basic Materials,09/11/2021,0
Basic Materials,10/11/2021,-0.26169771
